id,luas_ruangan_m2,jenis_dinding,ketebalan_dinding_cm,material_dinding,luas_dinding_m2,sumber_suara,intensitas_suara_awal_db,target_suara_db,frekuensi_dominan,kelas_anggaran,kelas_frekuensi,material_peredam,ketebalan_peredam_mm,sistem_pemasangan,estimasi_noise_reduction_db,estimasi_suara_di_luar_db,jarak_hingga_40db_m,estimasi_biaya_rp,tingkat_rekomendasi,delta_db,estimasi_absorpsi_A,koreksi_geometri_db,tl_required_db
1,52.8,Hebel,10.0,Bata ringan AAC,75.4,AC outdoor,63,40,250 Hz-2 kHz,Standar,mid,Glasswool 24 kg/m3,50,Ditempel langsung ke dinding,40.9,22.1,0.0,12050000,Tinggi,23,15.56,6.8536175321610395,29.85361753216104
2,16.8,Batako,15.0,Batako press,47.2,Percakapan,58,30,500 Hz-2 kHz,Standar,mid,Glasswool 24 kg/m3,25,Ditempel langsung ke dinding,43.3,14.700000000000003,0.0,6350000,Tinggi,28,8.36,7.517357211950715,35.51735721195072
3,117.4,Batako,10.0,Batako press,125.0,Home theater,94,45,40 Hz-2 kHz,Standar,low,Rockwool 60 kg/m3,50,Peredam + gypsum double 2x12 mm,46.6,47.4,2.3,38750000,Sedang,49,28.480000000000004,6.423700280432376,55.42370028043238
4,20.4,Kayu,8.0,Multiplek / papan kayu,53.4,AC outdoor,62,30,250 Hz-2 kHz,Standar,mid,Greenwool / PET fiber,25,Ditempel langsung ke dinding,33.5,28.5,0.0,8300000,Tinggi,32,9.08,7.694554085074713,39.694554085074714
5,74.0,Hebel,15.0,Bata ringan AAC,126.9,Studio band,100,45,50 Hz-5 kHz,Ekonomis,low,Rockwool 60 kg/m3,50,Ditempel langsung ke dinding,38.6,61.4,11.7,22200000,Rendah,55,19.8,8.067964318331736,63.06796431833173
6,90.0,Batako,15.0,Batako press,129.1,Musik / audio,78,50,250 Hz-4 kHz,Ekonomis,mid,Rockwool 60 kg/m3,25,Ditempel langsung ke dinding,42.3,35.7,0.0,18700000,Tinggi,28,23.0,7.491984062488274,35.49198406248827
7,115.8,Batako,10.0,Batako press,129.5,Lalu lintas,80,40,125 Hz-1 kHz,Standar,low,Glasswool 24 kg/m3,25,Peredam + gypsum 12 mm,36.4,43.6,1.5,26550000,Rendah,40,28.16,6.626371179471961,46.62637117947196
8,113.9,Bata,10.0,Bata merah plester,168.9,Musik / audio,76,40,250 Hz-4 kHz,Standar,mid,Glasswool 24 kg/m3,75,Ditempel langsung ke dinding,48.4,27.6,0.0,32100000,Tinggi,36,27.78,7.8389740816941185,43.83897408169412
9,47.5,Batako,20.0,Batako press,101.6,Lalu lintas,73,45,125 Hz-1 kHz,Ekonomis,low,Rockwool 60 kg/m3,25,Ditempel langsung ke dinding,39.8,33.2,0.0,14750000,Tinggi,28,14.5,8.455257057129256,36.45525705712926
10,110.8,Batako,15.0,Batako press,145.9,Pompa air,82,50,250 Hz-1 kHz,Standar,mid,Rockwool 60 kg/m3,25,Ditempel langsung ke dinding,42.6,39.4,0.0,21150000,Tinggi,32,27.16,7.301255262849876,39.30125526284988
11,118.5,Hebel,15.0,Bata ringan AAC,181.4,Home theater,87,40,40 Hz-2 kHz,Standar,low,Rockwool 60 kg/m3,75,Peredam + gypsum 12 mm,45.4,41.6,1.2,50800000,Sedang,47,28.700000000000003,8.007553859900842,55.00755385990084
12,38.2,Gypsum,10.0,Gypsum board 2x12mm + rangka,65.2,AC outdoor,71,50,250 Hz-2 kHz,Standar,mid,Greenwool / PET fiber,50,Ditempel langsung ke dinding,30.9,40.1,1.0,12700000,Tinggi,21,12.64,7.12500521785554,28.125005217855538
